shop_id,nama_toko,username_shopee,followers,jumlah_produk,rating,rating_baik,rating_normal,rating_buruk,lokasi,official,verified,preferred_plus,response_rate,response_time_detik,cancellation_rate,deskripsi,estimasi_total_orders,estimasi_monthly_orders,estimasi_monthly_revenue_idr
63823668,"Safi Official Shop","safiofficialstore",842374,212,4.890196,1473345,17755,3827,"KOTA JAKARTA BARAT","Ya","Tidak","Tidak",100,25,0,"Safiofficialstore adalah akun resmi dari Safi Indonesia

Selamat berbelanja di toko kami!",11959416,332206,26576480000
138850166,"Senka by FineToday Official","senkaid",827847,53,4.889406,648026,7962,4287,"KOTA TANGERANG","Ya","Tidak","Tidak",100,10,0,"Senka Official Shop adalah akun resmi SENKA INDONESIA di platform Shopee.
Senka adalah Brand pembersih wajah asal Jepang dengan bahan berkualitas untuk kulit cantik alami.
Senka hadir dengan menawarka",5282200,146728,11738240000
438891817,"Philips Official Shop","philipsofficialshop",813051,212,4.914338,717975,5961,1818,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,24,0,"Philips Official Shop adalah akun resmi dari Philips di Platform Shopee.
inovasi dan teknologi yang membantu Anda hidup lebih sehat, bahagia dan bermakna. 

Jam Operasional : Senin - Jumat ( 09:00 - 1",5806032,161279,12902320000
899001669,"Baisisi Official Store","baisisiofficial",813023,70,4.853597,572071,12330,2023,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,85,0,"Halo
Selamat datang di toko BAISISI official, kami menjanjikan pengembalian uang 100% untuk semua masalah produk, jangan khwatir untuk berbelanja!",4691392,130316,10425280000
45687268,"The Salon Shop_Salon Supplier","thesalonshop",799394,3919,4.831557,2562097,51843,17438,"KOTA SURABAYA","Tidak","Ya","Ya",100,3166,0,"THESALONSHOPSURABAYA,
(Sejak 2011), Dipengampon Surabaya

Toko alat dan kebutuhan kecantikan ujung rambut sampai ujung kaki , meliputi skin care, makeup, sabun, lotion, shampo untuk Professional salon",21051024,584751,46780080000
304569394,"gogoland.id","gogoland.id",795434,2214,4.695548,2406392,120225,48127,"KAB. TANGERANG","Tidak","Ya","Ya",100,977,0,"SELAMAT DATANG DI GOGOLAND 

OPENING NEW SELLER PENAWARAN TERBAIK BISA DAPATKAN DI TOKO KAMI 
❤ Kami adalah supplier/Distributor Fashion Pria & Wanita Kulitas Import
❤ Nikmati dan klaim vocher y",20597952,572165,45773200000
856580029,"Finally Found You Official Store","finallyfoundyou.id",777740,250,4.926767,629748,3997,649,"KOTA TANGERANG","Ya","Tidak","Tidak",98,5875,0,"Finally Found You Official Store adalah akun resmi dari Finally Found You di platform Shopee. Operational Hour : Senin- Minggu (jam 09.00 - jam 17.00) WIB",5075152,140976,11278080000
156582062,"Precious Skin Official Shop","preciouswhite_id",735739,121,4.839747,592403,11011,1830,"KOTA JAKARTA TIMUR","Ya","Tidak","Tidak",89,6849,0,"Precious Skin Thailand

Precious Skin Official Shop adalah akun resmi dari Precious Skin Thailand di platform Shopee. 
Merupakan Best no.1 Skin Solution

#brightyourpreciousskin
>>Ikuti Official Store",4841952,134499,10759920000
404429429,"COSRX Indonesia Official Shop","cosrxindonesia",721253,160,4.940845,834630,3933,834,"KAB. TANGERANG","Ya","Tidak","Tidak",100,27,0,"Selamat datang di akun resmi COSRX Indonesia Official Shop di platform Shopee!
COSRX adalah brand skincare favorit dari Korea Selatan yang menyediakan rangkaian produk untuk mengatasi berbagai masalah",6715176,186533,14922640000
73266191,"Godrej Indonesia Official Shop","godrejindonesia",705907,1322,4.874484,2842755,46312,15934,"KOTA BEKASI","Ya","Tidak","Tidak",100,27,0,"Godrejindonesia adalah akun resmi dari Godrej Indonesia dan merupakan bagian dari program Service By Shopee (SBS). Layanan ini dikelola oleh Shopee untuk membantu penjual Shopee dalam pemrosesan pesan",23240008,645556,51644480000
310417610,"Trueve Official Shop ","trueve.id",705704,78,4.906363,681610,5268,1147,"KOTA JAKARTA UTARA","Ya","Tidak","Tidak",100,18,0,"Selamat datang di Trueve Official Shop.

Seluruh produk pada toko ini 100% asli serta bersertifikasi BPOM & Dermatologically Tested.

Selamat berbelanja di toko kami!
Operational hours: Senin-Jumat ja",5504200,152894,12231520000
